date,time,charging_power_kW,meter_id
1,1,0,1033
1,2,0,1033
1,3,0,1033
1,4,0,1033
1,5,0,1033
1,6,0,1033
1,7,0,1033
1,8,0,1033
1,9,0,1033
1,10,0,1033
1,11,0,1033
1,12,0,1033
1,13,0,1033
1,14,0,1033
1,15,0,1033
1,16,0,1033
1,17,0,1033
1,18,0,1033
1,19,0,1033
1,20,0,1033
1,21,0,1033
1,22,0,1033
1,23,0,1033
1,24,0,1033
1,25,0,1033
1,26,0,1033
1,27,0,1033
1,28,0,1033
1,29,0,1033
1,30,0,1033
1,31,0,1033
1,32,0,1033
1,33,0,1033
1,34,0,1033
1,35,0,1033
1,36,0,1033
1,37,0,1033
1,38,0,1033
1,39,0,1033
1,40,0,1033
1,41,0,1033
1,42,0,1033
1,43,0,1033
1,44,0,1033
1,45,0,1033
1,46,0,1033
1,47,0,1033
1,48,0,1033
1,49,0,1033
1,50,0,1033
1,51,0,1033
1,52,0,1033
1,53,0,1033
1,54,0,1033
1,55,0,1033
1,56,0,1033
1,57,0,1033
1,58,0,1033
1,59,0,1033
1,60,0,1033
1,61,0,1033
1,62,0,1033
1,63,0,1033
1,64,0,1033
1,65,0,1033
1,66,0,1033
1,67,0,1033
1,68,0,1033
1,69,22,1033
1,70,22,1033
1,71,22,1033
1,72,22,1033
1,73,0,1033
1,74,0,1033
1,75,0,1033
1,76,0,1033
1,77,0,1033
1,78,0,1033
1,79,0,1033
1,80,0,1033
1,81,0,1033
1,82,0,1033
1,83,0,1033
1,84,0,1033
1,85,0,1033
1,86,0,1033
1,87,0,1033
1,88,0,1033
1,89,0,1033
1,90,0,1033
1,91,0,1033
1,92,0,1033
1,93,0,1033
1,94,0,1033
1,95,0,1033
1,96,0,1033
2,1,0,1033
2,2,0,1033
2,3,0,1033
2,4,0,1033
2,5,0,1033
2,6,0,1033
2,7,0,1033
2,8,0,1033
2,9,0,1033
2,10,0,1033
2,11,0,1033
2,12,0,1033
2,13,0,1033
2,14,0,1033
2,15,0,1033
2,16,0,1033
2,17,0,1033
2,18,0,1033
2,19,0,1033
2,20,0,1033
2,21,0,1033
2,22,0,1033
2,23,0,1033
2,24,0,1033
2,25,0,1033
2,26,0,1033
2,27,0,1033
2,28,0,1033
2,29,0,1033
2,30,0,1033
2,31,0,1033
2,32,0,1033
2,33,0,1033
2,34,0,1033
2,35,0,1033
2,36,0,1033
2,37,0,1033
2,38,0,1033
2,39,0,1033
2,40,0,1033
2,41,0,1033
2,42,0,1033
2,43,0,1033
2,44,0,1033
2,45,0,1033
2,46,0,1033
2,47,0,1033
2,48,0,1033
2,49,0,1033
2,50,0,1033
2,51,0,1033
2,52,0,1033
2,53,0,1033
2,54,0,1033
2,55,0,1033
2,56,0,1033
2,57,0,1033
2,58,0,1033
2,59,0,1033
2,60,0,1033
2,61,0,1033
2,62,0,1033
2,63,0,1033
2,64,0,1033
2,65,0,1033
2,66,0,1033
2,67,0,1033
2,68,0,1033
2,69,0,1033
2,70,0,1033
2,71,0,1033
2,72,0,1033
2,73,0,1033
2,74,0,1033
2,75,0,1033
2,76,22,1033
2,77,22,1033
2,78,22,1033
2,79,22,1033
2,80,22,1033
2,81,22,1033
2,82,0,1033
2,83,0,1033
2,84,0,1033
2,85,0,1033
2,86,0,1033
2,87,0,1033
2,88,0,1033
2,89,0,1033
2,90,0,1033
2,91,0,1033
2,92,0,1033
2,93,0,1033
2,94,0,1033
2,95,0,1033
2,96,0,1033
3,1,0,1033
3,2,0,1033
3,3,0,1033
3,4,0,1033
3,5,0,1033
3,6,0,1033
3,7,0,1033
3,8,0,1033
3,9,0,1033
3,10,0,1033
3,11,0,1033
3,12,0,1033
3,13,0,1033
3,14,0,1033
3,15,0,1033
3,16,0,1033
3,17,0,1033
3,18,0,1033
3,19,0,1033
3,20,0,1033
3,21,0,1033
3,22,0,1033
3,23,0,1033
3,24,0,1033
3,25,0,1033
3,26,0,1033
3,27,0,1033
3,28,0,1033
3,29,0,1033
3,30,0,1033
3,31,0,1033
3,32,0,1033
3,33,0,1033
3,34,0,1033
3,35,0,1033
3,36,0,1033
3,37,0,1033
3,38,0,1033
3,39,0,1033
3,40,0,1033
3,41,0,1033
3,42,0,1033
3,43,0,1033
3,44,0,1033
3,45,0,1033
3,46,0,1033
3,47,0,1033
3,48,0,1033
3,49,0,1033
3,50,0,1033
3,51,0,1033
3,52,0,1033
3,53,0,1033
3,54,0,1033
3,55,0,1033
3,56,0,1033
3,57,0,1033
3,58,0,1033
3,59,0,1033
3,60,0,1033
3,61,0,1033
3,62,0,1033
3,63,0,1033
3,64,0,1033
3,65,0,1033
3,66,0,1033
3,67,0,1033
3,68,0,1033
3,69,0,1033
3,70,0,1033
3,71,0,1033
3,72,0,1033
3,73,0,1033
3,74,0,1033
3,75,0,1033
3,76,0,1033
3,77,0,1033
3,78,0,1033
3,79,0,1033
3,80,0,1033
3,81,0,1033
3,82,0,1033
3,83,0,1033
3,84,0,1033
3,85,22,1033
3,86,22,1033
3,87,22,1033
3,88,22,1033
3,89,0,1033
3,90,0,1033
3,91,0,1033
3,92,0,1033
3,93,0,1033
3,94,0,1033
3,95,0,1033
3,96,0,1033
4,1,0,1033
4,2,0,1033
4,3,0,1033
4,4,0,1033
4,5,0,1033
4,6,0,1033
4,7,0,1033
4,8,0,1033
4,9,0,1033
4,10,0,1033
4,11,0,1033
4,12,0,1033
4,13,0,1033
4,14,0,1033
4,15,0,1033
4,16,0,1033
4,17,0,1033
4,18,0,1033
4,19,0,1033
4,20,0,1033
4,21,0,1033
4,22,0,1033
4,23,0,1033
4,24,0,1033
4,25,0,1033
4,26,0,1033
4,27,0,1033
4,28,0,1033
4,29,0,1033
4,30,0,1033
4,31,0,1033
4,32,0,1033
4,33,0,1033
4,34,0,1033
4,35,0,1033
4,36,0,1033
4,37,0,1033
4,38,0,1033
4,39,0,1033
4,40,0,1033
4,41,0,1033
4,42,0,1033
4,43,0,1033
4,44,0,1033
4,45,0,1033
4,46,0,1033
4,47,0,1033
4,48,0,1033
4,49,0,1033
4,50,22,1033
4,51,22,1033
4,52,0,1033
4,53,0,1033
4,54,0,1033
4,55,0,1033
