year,id,type,f_value
6,1,limited-ov/uv,0.20548633695298038
6,2,limited-ov/uv,0.41916774248178806
6,3,limited-ov/uv,0.3513590050524739
6,4,limited-ov/uv,0.40387053885271335
6,5,limited-ov/uv,0.24579610377850233
6,6,limited-ov/uv,0.21204303916087786
6,7,limited-ov/uv,0.3499802668604834
6,8,limited-ov/uv,0.20204328984234854
6,9,limited-ov/uv,0.20535360887449994
6,10,limited-ov/uv,0.1709374278673109
6,11,limited-ov/uv,0.19725429144191173
6,12,limited-ov/uv,0.2032636155782209
6,13,limited-ov/uv,0.13684429407540918
6,14,limited-ov/uv,0.21513984486701124
6,15,limited-ov/uv,0.19020356306684652
6,16,limited-ov/uv,0.19579547776409756
6,17,limited-ov/uv,0.19364422398973877
6,18,limited-ov/uv,0.36295604103799156
6,19,limited-ov/uv,0.24610886539905685
6,20,limited-ov/uv,0.25947626782613525
6,21,limited-ov/uv,0.33343453823090297
6,22,limited-ov/uv,0.22616719393388365
6,23,limited-ov/uv,0.3500802894497516
6,24,limited-ov/uv,0.3618675004772975
6,25,limited-ov/uv,0.28707917823381424
6,26,limited-ov/uv,0.13592513420212068
6,27,limited-ov/uv,0.1956702416416188
6,28,limited-ov/uv,0.17679997692636928
6,29,limited-ov/uv,0.1597783782054353
6,30,limited-ov/uv,0.18540704003516043
6,31,limited-ov/uv,0.17009936802595105
6,32,limited-ov/uv,0.13863262355922076
6,33,limited-ov/uv,0.19285706560474233
6,34,limited-ov/uv,0.2018722917199577
6,35,limited-ov/uv,0.31303686801110936
6,36,limited-ov/uv,0.17641288945063663
6,37,limited-ov/uv,0.14418011764719332
6,38,limited-ov/uv,0.18472598572715515
6,39,limited-ov/uv,0.19545123062035083
6,40,limited-ov/uv,0.3010858712269166
6,41,limited-ov/uv,0.1731251986061171
6,42,limited-ov/uv,0.194079310346561
6,43,limited-ov/uv,0.2058857577851789
6,44,limited-ov/uv,0.1643241083503084
6,45,limited-ov/uv,0.15693387409620876
6,46,limited-ov/uv,0.3113911500263207
6,47,limited-ov/uv,0.33052333480542884
6,48,limited-ov/uv,0.23028178691500345
6,49,limited-ov/uv,0.17713561563603608
6,50,limited-ov/uv,0.16220429876593626
6,51,limited-ov/uv,0.25843320064870307
6,52,limited-ov/uv,0.3949630917353483
6,53,limited-ov/uv,0.411942131969671
6,54,limited-ov/uv,0.1795478620484878
6,55,limited-ov/uv,0.37163152701304814
6,56,limited-ov/uv,0.46027501645555535
6,57,limited-ov/uv,0.33764056321160224
6,58,limited-ov/uv,0.3973331210786073
6,59,limited-ov/uv,0.1097635286861784
6,60,limited-ov/uv,0.39748884460982725
6,61,limited-ov/uv,0.15631975416106494
6,62,limited-ov/uv,0.4039879982380012
6,63,limited-ov/uv,0.26912476099300026
6,64,limited-ov/uv,0.342804549506812
6,65,limited-ov/uv,0.12345780294072078
6,66,limited-ov/uv,0.22587694940265154
6,67,limited-ov/uv,0.3664152775298894
6,68,limited-ov/uv,0.17313911046434063
6,69,limited-ov/uv,0.21633090345787334
6,70,limited-ov/uv,0.13473970401295185
6,71,limited-ov/uv,0.26004735144679686
6,72,limited-ov/uv,0.22094911880051873
6,73,limited-ov/uv,0.15749456184390495
6,74,limited-ov/uv,0.2633848250838551
6,75,limited-ov/uv,0.26260010475532153
6,76,limited-ov/uv,0.28667729948187054
6,77,limited-ov/uv,0.3014774232929382
6,78,limited-ov/uv,0.35309447464127297
6,79,limited-ov/uv,0.19096203784295343
6,80,limited-ov/uv,0.14911159127007514
6,81,limited-ov/uv,0.3076736284414164
6,82,limited-ov/uv,0.44937548662862253
6,83,limited-ov/uv,0.3663231767900775
6,84,limited-ov/uv,0.3374046689490467
6,85,limited-ov/uv,0.3354461309087457
6,86,limited-ov/uv,0.3618264146432622
6,87,limited-ov/uv,0.1690185482353771
6,88,limited-ov/uv,0.2577617227318198
6,89,limited-ov/uv,0.3971554866631853
6,90,limited-ov/uv,0.33818842447130243
6,91,limited-ov/uv,0.14815309857623782
6,92,limited-ov/uv,0.43803638921696125
6,93,limited-ov/uv,0.23078832288076626
6,94,normal,0.14835250331643943
6,95,limited-ov/uv,0.3124022738608616
6,96,limited-ov/uv,0.3873486207844396
6,97,limited-ov/uv,0.4251715939476142
6,98,limited-ov/uv,0.2741493311676715
